gauge_id,koppen_code,koppen_name,zone
10249300,BWk,Cold Desert Climate,arid
10244950,BSk,Cold Semi-Arid Climate,semi_arid
9484000,BSk,Cold Semi-Arid Climate,semi_arid
9484600,BSk,Cold Semi-Arid Climate,semi_arid
10242000,BSk,Cold Semi-Arid Climate,semi_arid
10172700,BSk,Cold Semi-Arid Climate,semi_arid
2298123,Cfa,Humid Subtropical Climate,temperate
10259200,Csa,Hot-Summer Mediterranean Climate,temperate
2363000,Cfa,Humid Subtropical Climate,temperate
14182500,Csb,Warm-Summer Mediterranean Climate,temperate
3165000,Cfa,Humid Subtropical Climate,temperate
3450000,Cfb,Temperate Oceanic Climate,temperate
6468170,Dfb,"Humid Continental Mild Summer, Wet All Year",continental
1510000,Dfb,"Humid Continental Mild Summer, Wet All Year",continental
9066300,Dfc,Subarctic with Cool Summers and Year-round Precipitation,continental
10336660,Dsb,Humid Continental Climate - Dry Cool Summer,continental
1552000,Dfb,"Humid Continental Mild Summer, Wet All Year",continental
7208500,Dfb,"Humid Continental Mild Summer, Wet All Year",continental
9065500,ET,Tundra Climate,alpine
9035900,ET,Tundra Climate,alpine
8190500,BSh,Hot Semi-Arid Climate,semi_arid
9512280,BSk,Cold Semi-Arid Climate,semi_arid
7226500,BSk,Cold Semi-Arid Climate,semi_arid
10249300,BWk,Cold Desert Climate,arid
3213700,Cfa,Humid Subtropical Climate,temperate
8176900,Cfa,Humid Subtropical Climate,temperate
3450000,Cfb,Temperate Oceanic Climate,temperate
12040500,Cfb,Temperate Oceanic Climate,temperate
12041200,Cfc,Subpolar Oceanic Climate,temperate
10259000,Csa,Hot-Summer Mediterranean Climate,temperate
11176400,Csa,Hot-Summer Mediterranean Climate,temperate
14182500,Csb,Warm-Summer Mediterranean Climate,temperate
12035000,Csb,Warm-Summer Mediterranean Climate,temperate
1466500,Dfa,Humid Continental Hot Summers with Year-round Precipitation,continental
6878000,Dfa,Humid Continental Hot Summers with Year-round Precipitation,continental
3161000,Dfb,"Humid Continental Mild Summer, Wet All Year",continental
5057200,Dfb,"Humid Continental Mild Summer, Wet All Year",continental
9107000,Dfc,Subarctic with Cool Summers and Year-round Precipitation,continental
6623800,Dfc,Subarctic with Cool Summers and Year-round Precipitation,continental
10336660,Dsb,Humid Continental Climate - Dry Cool Summer,continental
14216500,Dsb,Humid Continental Climate - Dry Cool Summer,continental
12447390,Dsc,Continental Subarctic - Cold Dry Summer,continental
13310700,Dsc,Continental Subarctic - Cold Dry Summer,continental
6450500,Dwa,Humid Continental Hot Summers with Dry Winters,continental
6332515,Dwb,Humid Continental Mild Summer with Dry Winters,continental
9065500,ET,Tundra Climate,alpine
8194200,BSh,Hot Semi-Arid Climate,semi_arid
6447500,BSk,Cold Semi-Arid Climate,semi_arid
6352000,BSk,Cold Semi-Arid Climate,semi_arid
7197000,Cfa,Humid Subtropical Climate,temperate
2108000,Cfa,Humid Subtropical Climate,temperate
12043000,Cfb,Temperate Oceanic Climate,temperate
3439000,Cfb,Temperate Oceanic Climate,temperate
11224500,Csa,Hot-Summer Mediterranean Climate,temperate
