rank_order,basin_id,hru_id,lon_cen,lat_cen,Code,Climate
0,13240000,13240000,-115.92988,44.95118,Dsc,Continental Subarctic - Cold Dry Summer
1,12375900,12375900,-113.95571,47.51015,Dfc,Subarctic with Cool Summers and Year-round Precipitation
2,03213700,3213700,-81.81715,37.42337,Cfa,Humid Subtropical Climate
3,03338780,3338780,-87.57334,40.4083,Dfa,Humid Continental Hot Summers with Year-round Precipitation
4,12041200,12041200,-123.90702,47.81638,Cfc,Subpolar Oceanic Climate
5,14092750,14092750,-121.70809,44.74743,Dsc,Continental Subarctic - Cold Dry Summer
6,11264500,11264500,-119.42502,37.70889,Dsc,Continental Subarctic - Cold Dry Summer
7,12040500,12040500,-124.00019,47.64279,Cfb,Temperate Oceanic Climate
8,03161000,3161000,-81.56,36.2835,Dfb,"Humid Continental Mild Summer, Wet All Year"
9,06450500,6450500,-101.27464,43.22038,Dwa,Humid Continental Hot Summers with Dry Winters
10,01466500,1466500,-74.49062,39.87334,Dfa,Humid Continental Hot Summers with Year-round Precipitation
11,07226500,7226500,-103.84928,36.02758,BSk,Cold Semi-Arid Climate
12,02011400,2011400,-79.7187,38.20913,Dfa,Humid Continental Hot Summers with Year-round Precipitation
13,10329500,10329500,-117.4187,41.64141,BSk,Cold Semi-Arid Climate
14,06623800,6623800,-106.75427,40.96984,Dfc,Subarctic with Cool Summers and Year-round Precipitation
15,06622700,6622700,-106.45331,41.39968,Dfc,Subarctic with Cool Summers and Year-round Precipitation
16,06224000,6224000,-109.42326,43.08602,Dfc,Subarctic with Cool Summers and Year-round Precipitation
17,12488500,12488500,-121.37304,46.91894,Dsc,Continental Subarctic - Cold Dry Summer
18,10336660,10336660,-120.20516,39.09663,Dsb,Humid Continental Climate - Dry Cool Summer
19,06878000,6878000,-97.27578,39.19349,Dfa,Humid Continental Hot Summers with Year-round Precipitation
20,09480000,9480000,-110.58471,31.42516,BSk,Cold Semi-Arid Climate
